Year,Coal,Lignite,Natural gas,Crude oil,Uranium oxide
2.01000000000000E+03,4.61858010000000E+05,0.00000000000000E+00,2.15425455000000E+06,2.67067179720000E+06,6.71110545600000E+05
2.01100000000000E+03,4.39700585000000E+05,0.00000000000000E+00,1.81046397000000E+06,2.68280528860000E+06,7.19651677800000E+05
2.01200000000000E+03,4.17543160000000E+05,0.00000000000000E+00,1.46667339000000E+06,2.69493878000000E+06,7.68192810000000E+05
2.01300000000000E+03,3.63038265218412E+05,0.00000000000000E+00,1.45573169891744E+06,2.46928581800196E+06,7.32533471543160E+05
2.01400000000000E+03,3.08533370436824E+05,0.00000000000000E+00,1.44479000783488E+06,2.24363285600392E+06,6.96874133086321E+05
2.01500000000000E+03,2.54028475655236E+05,0.00000000000000E+00,1.43384831675232E+06,2.01797989400588E+06,6.61214794629481E+05
2.01600000000000E+03,2.31870726524537E+05,0.00000000000000E+00,1.37165113304934E+06,1.95741141128130E+06,6.57708919634832E+05
2.01700000000000E+03,2.09712977393838E+05,0.00000000000000E+00,1.30945394934636E+06,1.89684292855672E+06,6.54203044640183E+05
2.01800000000000E+03,1.87555228263140E+05,0.00000000000000E+00,1.24725676564338E+06,1.83627444583214E+06,6.50697169645535E+05
2.01900000000000E+03,1.65397479132441E+05,0.00000000000000E+00,1.18505958194041E+06,1.77570596310756E+06,6.47191294650886E+05
2.02000000000000E+03,1.43239730001742E+05,0.00000000000000E+00,1.12286239823743E+06,1.71513748038297E+06,6.43685419656237E+05
2.02100000000000E+03,1.40103545525924E+05,0.00000000000000E+00,1.08868580427341E+06,1.64878663271504E+06,6.31006738809882E+05
2.02200000000000E+03,1.36967361050105E+05,0.00000000000000E+00,1.05450921030938E+06,1.58243578504710E+06,6.18328057963527E+05
2.02300000000000E+03,1.33831176574287E+05,0.00000000000000E+00,1.02033261634536E+06,1.51608493737916E+06,6.05649377117173E+05
2.02400000000000E+03,1.30694992098469E+05,0.00000000000000E+00,9.86156022381341E+05,1.44973408971122E+06,5.92970696270818E+05
2.02500000000000E+03,1.27558807622650E+05,0.00000000000000E+00,9.51979428417318E+05,1.38338324204328E+06,5.80292015424463E+05
2.02600000000000E+03,1.16584737699752E+05,0.00000000000000E+00,8.96313256996547E+05,1.32816272893181E+06,6.63309182537671E+05
2.02700000000000E+03,1.05610667776854E+05,0.00000000000000E+00,8.40647085575775E+05,1.27294221582034E+06,7.46326349650879E+05
2.02800000000000E+03,9.46365978539559E+04,0.00000000000000E+00,7.84980914155004E+05,1.21772170270888E+06,8.29343516764087E+05
2.02900000000000E+03,8.36625279310577E+04,0.00000000000000E+00,7.29314742734233E+05,1.16250118959741E+06,9.12360683877295E+05
2.03000000000000E+03,7.26884580081595E+04,0.00000000000000E+00,6.73648571313461E+05,1.10728067648594E+06,9.95377850990503E+05
2.03100000000000E+03,6.79202589246684E+04,0.00000000000000E+00,6.42529272729651E+05,1.05475270890289E+06,9.76147102215872E+05
2.03200000000000E+03,6.31520598411774E+04,0.00000000000000E+00,6.11409974145841E+05,1.00222474131985E+06,9.56916353441241E+05
2.03300000000000E+03,5.83838607576863E+04,0.00000000000000E+00,5.80290675562030E+05,9.49696773736803E+05,9.37685604666610E+05
2.03400000000000E+03,5.36156616741952E+04,0.00000000000000E+00,5.49171376978220E+05,8.97168806153757E+05,9.18454855891980E+05
2.03500000000000E+03,4.88474625907042E+04,0.00000000000000E+00,5.18052078394410E+05,8.44640838570711E+05,8.99224107117349E+05
2.03600000000000E+03,4.60969671701742E+04,0.00000000000000E+00,4.86181490761639E+05,7.95669354641298E+05,9.07512746921565E+05
2.03700000000000E+03,4.33464717496441E+04,0.00000000000000E+00,4.54310903128869E+05,7.46697870711885E+05,9.15801386725781E+05
2.03800000000000E+03,4.05959763291141E+04,0.00000000000000E+00,4.22440315496099E+05,6.97726386782472E+05,9.24090026529997E+05
2.03900000000000E+03,3.78454809085841E+04,0.00000000000000E+00,3.90569727863329E+05,6.48754902853059E+05,9.32378666334214E+05
2.04000000000000E+03,3.50949854880541E+04,0.00000000000000E+00,3.58699140230559E+05,5.99783418923646E+05,9.40667306138430E+05
2.04100000000000E+03,3.39855831906077E+04,0.00000000000000E+00,3.37817038184770E+05,5.47942627340007E+05,9.65525990422640E+05
2.04200000000000E+03,3.28761808931614E+04,0.00000000000000E+00,3.16934936138981E+05,4.96101835756369E+05,9.90384674706851E+05
2.04300000000000E+03,3.17667785957150E+04,0.00000000000000E+00,2.96052834093191E+05,4.44261044172730E+05,1.01524335899106E+06
2.04400000000000E+03,3.06573762982687E+04,0.00000000000000E+00,2.75170732047402E+05,3.92420252589092E+05,1.04010204327527E+06
2.04500000000000E+03,2.95479740008223E+04,0.00000000000000E+00,2.54288630001613E+05,3.40579461005453E+05,1.06496072755948E+06
2.04600000000000E+03,2.80122447471119E+04,0.00000000000000E+00,2.21630133385066E+05,2.97185767410437E+05,1.11467809612790E+06
2.04700000000000E+03,2.64765154934015E+04,0.00000000000000E+00,1.88971636768518E+05,2.53792073815421E+05,1.16439546469632E+06
2.04800000000000E+03,2.49407862396911E+04,0.00000000000000E+00,1.56313140151971E+05,2.10398380220405E+05,1.21411283326475E+06
2.04900000000000E+03,2.34050569859807E+04,0.00000000000000E+00,1.23654643535424E+05,1.67004686625389E+05,1.26383020183317E+06
2.05000000000000E+03,2.18693277322703E+04,0.00000000000000E+00,9.09961469188767E+04,1.23610993030372E+05,1.31354757040159E+06
