year,coal,lignite,natural gas,crude oil,uranium oxide,bio-residues
2000.000000,4525871.796154,4611742.555128,9083398.930343,7320753.273460,10791054.454924,2240315.528434
2001.000000,4410360.943217,4514930.810408,8812584.923917,6987379.354649,10712848.269635,2463759.648719
2002.000000,4294850.090280,4418119.065687,8541770.917491,6654005.435838,10634642.084346,2687203.769003
2003.000000,4179339.237343,4321307.320967,8270956.911065,6320631.517027,10556435.899056,2910647.889288
2004.000000,4063828.384406,4224495.576247,8000142.904639,5987257.598216,10478229.713767,3134092.009573
2005.000000,3948317.531469,4127683.831527,7729328.898213,5653883.679405,10400023.528478,3357536.129858
2006.000000,3832806.678531,4030872.086806,7458514.891787,5320509.760595,10321817.343189,3580980.250142
2007.000000,3717295.825594,3934060.342086,7187700.885361,4987135.841784,10243611.157900,3804424.370427
2008.000000,3601784.972657,3837248.597366,6916886.878935,4653761.922973,10165404.972610,4027868.490712
2009.000000,3486274.119720,3740436.852646,6646072.872509,4320388.004162,10087198.787321,4251312.610997
2010.000000,3370763.266783,3643625.107925,6375258.866083,3987014.085351,10008992.602032,4474756.731281
2011.000000,3255252.413846,3546813.363205,6104444.859657,3653640.166540,9930786.416743,4698200.851566
2012.000000,3139741.560909,3450001.618485,5833630.853231,3320266.247729,9852580.231453,4921644.971851
2013.000000,3024230.707971,3353189.873765,5562816.846805,2986892.328918,9774374.046164,5145089.092136
2014.000000,2908719.855034,3256378.129044,5292002.840379,2653518.410107,9696167.860875,5368533.212420
2015.000000,2793209.002097,3159566.384324,5021188.833953,2320144.491296,9617961.675586,5591977.332705
2016.000000,2677698.149160,3062754.639604,4750374.827527,1986770.572485,9539755.490297,5815421.452990
2017.000000,2562187.296223,2965942.894883,4479560.821101,1653396.653674,9461549.305007,6038865.573275
2018.000000,2446676.443286,2869131.150163,4208746.814675,1320022.734863,9383343.119718,6262309.693559
2019.000000,2331165.590349,2772319.405443,3937932.808249,986648.816052,9305136.934429,6485753.813844
2020.000000,2215654.737412,2675507.660723,3667118.801823,653274.897242,9226930.749140,6709197.934129
2021.000000,2100143.884474,2578695.916002,3396304.795397,319900.978431,9148724.563851,6932642.054414
2022.000000,1984633.031537,2481884.171282,3125490.788971,0.000000,9070518.378561,7156086.174698
2023.000000,1869122.178600,2385072.426562,2854676.782545,0.000000,8992312.193272,7379530.294983
2024.000000,1753611.325663,2288260.681842,2583862.776119,0.000000,8914106.007983,7602974.415268
2025.000000,1638100.472726,2191448.937121,2313048.769693,0.000000,8835899.822694,7826418.535553
2026.000000,1522589.619789,2094637.192401,2042234.763267,0.000000,8757693.637404,8049862.655837
2027.000000,1407078.766852,1997825.447681,1771420.756841,0.000000,8679487.452115,8273306.776122
2028.000000,1291567.913915,1901013.702961,1500606.750415,0.000000,8601281.266826,8496750.896407
2029.000000,1176057.060977,1804201.958240,1229792.743989,0.000000,8523075.081537,8720195.016692
2030.000000,1060546.208040,1707390.213520,958978.737563,0.000000,8444868.896248,8943639.136976
2031.000000,945035.355103,1610578.468800,688164.731136,0.000000,8366662.710958,9167083.257261
2032.000000,829524.502166,1513766.724080,417350.724710,0.000000,8288456.525669,9390527.377546
2033.000000,714013.649229,1416954.979359,146536.718284,0.000000,8210250.340380,9613971.497831
2034.000000,598502.796292,1320143.234639,0.000000,0.000000,8132044.155091,9837415.618115
2035.000000,482991.943355,1223331.489919,0.000000,0.000000,8053837.969802,10060859.738400
2036.000000,367481.090417,1126519.745199,0.000000,0.000000,7975631.784512,10284303.858685
2037.000000,251970.237480,1029708.000478,0.000000,0.000000,7897425.599223,10507747.978970
2038.000000,136459.384543,932896.255758,0.000000,0.000000,7819219.413934,10731192.099254
2039.000000,20948.531606,836084.511038,0.000000,0.000000,7741013.228645,10954636.219539
2040.000000,0.000000,739272.766318,0.000000,0.000000,7662807.043355,11178080.339824
2041.000000,0.000000,642461.021597,0.000000,0.000000,7584600.858066,11401524.460109
2042.000000,0.000000,545649.276877,0.000000,0.000000,7506394.672777,11624968.580393
2043.000000,0.000000,448837.532157,0.000000,0.000000,7428188.487488,11848412.700678
2044.000000,0.000000,352025.787437,0.000000,0.000000,7349982.302199,12071856.820963
2045.000000,0.000000,255214.042716,0.000000,0.000000,7271776.116909,12295300.941248
2046.000000,0.000000,158402.297996,0.000000,0.000000,7193569.931620,12518745.061532
2047.000000,0.000000,61590.553276,0.000000,0.000000,7115363.746331,12742189.181817
2048.000000,0.000000,0.000000,0.000000,0.000000,7037157.561042,12965633.302102
2049.000000,0.000000,0.000000,0.000000,0.000000,6958951.375753,13189077.422387
2050.000000,0.000000,0.000000,0.000000,0.000000,6880745.190463,13412521.542671
